GENE	COUNT	TYPE	LOG_COUNT	DIFF	LOG2	pvalue
UBE2Q2	2	RELAPSE	0.301029995664	1	1.0	0.772829992684448
ZNF709	16	RELAPSE	1.20411998266	9	1.19264507794	0.580712162189025
ZNF878	4	RELAPSE	0.602059991328	2	1.0	0.5774686624273
LRRTM4	1	RELAPSE	0.0	0	0.0	1
ZNF703	11	RELAPSE	1.04139268516	3	0.459431618637	0.233037982273905
ZNF700	12	RELAPSE	1.07918124605	11	3.58496250072	0.414216178242525
CEACAM3	1	RELAPSE	0.0	0	0.0	1
ZC3H13	18	RELAPSE	1.2552725051	4	0.362570079385	0.30464192203661
ZC3H15	1	RELAPSE	0.0	0	0.0	1
RNF111	5	RELAPSE	0.698970004336	2	0.736965594166	0.484018354704782
ZC3H18	7	RELAPSE	0.845098040014	5	1.80735492206	0.269294136719737
GRIN1	9	RELAPSE	0.954242509439	4	0.847996906555	0.0718606382258516
TCOF1	7	RELAPSE	0.845098040014	1	0.222392421336	1
GRINA	1	RELAPSE	0.0	0	0.0	1
SP4	10	RELAPSE	1.0	2	0.321928094887	0.664611629541006
GOLIM4	9	RELAPSE	0.954242509439	0	0.0	1
GTSE1	1	RELAPSE	0.0	0	0.0	1
SPPL2C	2	RELAPSE	0.301029995664	-3	-1.32192809489	0.233037982273905
SPPL2B	2	RELAPSE	0.301029995664	0	0.0	1
ITGA8	1	RELAPSE	0.0	0	0.0	1
ITGA3	1	RELAPSE	0.0	-1	-1.0	0.772829992684448
DENND4B	16	RELAPSE	1.20411998266	-4	-0.321928094887	0.429906175065904
SWAP70	3	RELAPSE	0.47712125472	2	1.58496250072	0.34577858615116
PHLDA1	17	RELAPSE	1.23044892138	15	3.08746284125	0.0147087694431172
GAP43	1	RELAPSE	0.0	-1	-1.0	0.772829992684448
CYP27B1	2	RELAPSE	0.301029995664	1	1.0	1
FBXL17	8	RELAPSE	0.903089986992	5	1.41503749928	0.0889730117018133
FBXL18	1	RELAPSE	0.0	-2	-1.58496250072	1
GHDC	5	RELAPSE	0.698970004336	2	0.736965594166	0.34577858615116
SDK1	1	RELAPSE	0.0	0	0.0	1
SDK2	2	RELAPSE	0.301029995664	1	1.0	1
TPRN	5	RELAPSE	0.698970004336	-1	-0.263034405834	0.850106739138526
FAM212A	5	RELAPSE	0.698970004336	-1	-0.263034405834	0.772829992684448
CHST2	1	RELAPSE	0.0	0	0.0	1
HLX	4	RELAPSE	0.602059991328	-1	-0.321928094887	0.890230054943497
ITGAL	9	RELAPSE	0.954242509439	6	1.58496250072	0.104757489849731
ITGAE	12	RELAPSE	1.07918124605	2	0.263034405834	0.794761190646548
TRERF1	17	RELAPSE	1.23044892138	7	0.765534746363	0.338724147759658
SMAD4	1	RELAPSE	0.0	-11	-3.58496250072	0.0178817975409095
SMAD6	1	RELAPSE	0.0	0	0.0	1
AFTPH	7	RELAPSE	0.845098040014	-2	-0.362570079385	0.58621368107314
SMAD3	6	RELAPSE	0.778151250384	4	1.58496250072	0.279485368251126
IGF2R	3	RELAPSE	0.47712125472	1	0.584962500721	1
ERICH6	21	RELAPSE	1.32221929473	-1	-0.0671141958585	0.824140895741885
ERICH4	7	RELAPSE	0.845098040014	0	0.0	1
ERICH2	16	RELAPSE	1.20411998266	-4	-0.321928094887	0.422678074170635
COL18A1	6	RELAPSE	0.778151250384	5	2.58496250072	1
CADPS2	1	RELAPSE	0.0	0	0.0	1
CCDC114	1	RELAPSE	0.0	0	0.0	1
MTCL1	5	RELAPSE	0.698970004336	3	1.32192809489	1
ATP1A4	2	RELAPSE	0.301029995664	1	1.0	1
SP8	9	RELAPSE	0.954242509439	-8	-0.917537839808	0.18144920772142
SP9	11	RELAPSE	1.04139268516	1	0.13750352375	0.765594483995764
CPEB3	1	RELAPSE	0.0	-2	-1.58496250072	0.34577858615116
CPEB2	30	RELAPSE	1.47712125472	8	0.447458976971	0.0982421905790877
BEGAIN	8	RELAPSE	0.903089986992	1	0.192645077942	1
RBMXL2	1	RELAPSE	0.0	-1	-1.0	1
ZNF780A	4	RELAPSE	0.602059991328	2	1.0	0.5774686624273
FRG1	43	RELAPSE	1.63346845558	-4	-0.128324096976	0.456821057871969
C20orf141	7	RELAPSE	0.845098040014	2	0.48542682717	0.423710797166793
XPA	3	RELAPSE	0.47712125472	0	0.0	1
PHOX2B	4	RELAPSE	0.602059991328	-19	-2.52356195606	0.0199065122489278
HAMP	6	RELAPSE	0.778151250384	1	0.263034405834	0.850106739138526
SIDT2	5	RELAPSE	0.698970004336	2	0.736965594166	0.571607644953332
SIX4	9	RELAPSE	0.954242509439	4	0.847996906555	0.429906175065904
SIX5	7	RELAPSE	0.845098040014	0	0.0	0.942690629730241
SIX3	11	RELAPSE	1.04139268516	-6	-0.628031222613	0.119813814205544
CNPY4	10	RELAPSE	1.0	4	0.736965594166	0.240170684610695
CNPY3	10	RELAPSE	1.0	6	1.32192809489	0.0696561572502
ANKRD30BL	2	RELAPSE	0.301029995664	1	1.0	1
SMDT1	7	RELAPSE	0.845098040014	4	1.22239242134	0.129430674437906
RFPL1	3	RELAPSE	0.47712125472	-1	-0.415037499279	1
RFPL4AL1	6	RELAPSE	0.778151250384	4	1.58496250072	0.203091787577168
RFX5	1	RELAPSE	0.0	0	0.0	1
APP	5	RELAPSE	0.698970004336	-2	-0.48542682717	0.423710797166793
NRXN2	2	RELAPSE	0.301029995664	0	0.0	1
APC	17	RELAPSE	1.23044892138	0	0.0	1
UQCRC1	1	RELAPSE	0.0	0	0.0	1
TRADD	2	RELAPSE	0.301029995664	-4	-1.58496250072	0.344704222006958
LHCGR	8	RELAPSE	0.903089986992	-2	-0.321928094887	0.423710797166793
IGFBP2	6	RELAPSE	0.778151250384	0	0.0	1
GJA1	2	RELAPSE	0.301029995664	1	1.0	1
CYP8B1	1	RELAPSE	0.0	0	0.0	1
